ID,Name
CB_Company_312,"Hubei XinMingTai Chemical Co., Ltd."
CB_Company_313,"Suzhou Liyuan Biomedical Technology Co., Ltd."
CB_Company_314,"Yangzhou Huayang Chemical Auxiliary Co., Ltd."
CB_Company_315,"Changzhou Jintan Hengxin Chemical Co., Ltd."
CB_Company_316,"Jiangsu Guiren Pharmaceutical Co., Ltd."
CB_Company_317,"Shandong Boman Chemical Co., Ltd."
CB_Company_318,"Zhejiang Huzhou Salon Chemical Co., Ltd."
CB_Company_319,"Shanghai Chinese Simplification Co., Ltd."
CB_Company_320,"Goly Chemical Co., Ltd"
CB_Company_321,"Shanghai Jianbei Organic Chemical Co., Ltd"
CB_Company_322,"Linhai Yida Trading Co.,Ltd."
CB_Company_323,"Hebei Boyuan Co., Ltd."
CB_Company_324,"Guangzhou Howei Chemical Co., Ltd."
CB_Company_325,Shanghai Zillionaire Chemicals Inc
CB_Company_326,Jintan Xinan Chemical Institue
CB_Company_327,"Shanghai Shenglong Chemicals Co., Ltd"
CB_Company_328,Trump Chemical Corp
CB_Company_329,"Leping Zhongsheng Chemical Co., Ltd"
CB_Company_330,"Zibo Zhenrong Industrial Trade Co., Ltd"
CB_Company_331,Suzhou Huqiu Xinghuo Fine Chemical Factory
CB_Company_332,"Weifang Weitai Chemical Co., Ltd"
CB_Company_333,"Jintan Hengxin Chemical Co., Ltd"
CB_Company_334,"Weifang Ruihai Chemical Co., Ltd"
CB_Company_335,"Changzhou Xianzheng Chemical Co.,Ltd"
CB_Company_336,"Shanghai Jiahealthy Technology Co.,Ltd"
CB_Company_337,"Hangzhou Songye Chemical Co., Ltd"
CB_Company_338,"Changzhou Ouya Chemical Co., Ltd"
CB_Company_339,"Zouping Coastal Chemical Co., Ltd"
CB_Company_340,"Rudong Lianfeng Chemicals Co., Ltd."
CB_Company_341,"Quzhou Xinteng Chemical Co., Ltd."
CB_Company_342,"Anhui Jino Chemical Co., Ltd."
CB_Company_343,"Zibo Yixin Chemical Co., Ltd"
CB_Company_344,"Zouping blue Jia Chemical Co., Ltd"
CB_Company_345,"Zouping Tongfeng Chemical Co., Ltd"
CB_Company_346,"Shanghai Xiechen Trading & Developing Co., Ltd"
CB_Company_347,"Zouping Mingyuan Import and Export Trade Co., Ltd."
CB_Company_348,"Nantong Lianfeng Chemical Industry CO., Ltd"
CB_Company_349,"Changzhou Cuiqiao Weixing Chemical Co., Ltd"
CB_Company_350,"Suzhou Credit International Trading Co., Ltd"
CB_Company_351,"Shang Hai Grade Biochemical Co,. Limited"
CB_Company_352,#NAME?
CB_Company_353,"Hangzhou GYZ Chemical Co., Ltd."
CB_Company_354,Jia Zibo Chemical Co.
CB_Company_355,Jiaxing Barton Chemicals
CB_Company_356,"Dongying Dafeng Chemical Co., Ltd"
CB_Company_357,"Huzhou Salon Chemical Co., Ltd"
CB_Company_358,"Guangdong Wengjiang Chemical Reagent Co., Ltd."
CB_Company_359,Jiangyin Yuecheng Jiangnan Fine Chemicals Co. Ltd.
CB_Company_360,Shandong Yihong Chemical Co. LTD
CB_Company_361,Wuhan WinYuanBei Trading Company
CB_Company_362,"Auonsi (Shanghai) Biology Technology Co., Ltd."
CB_Company_363,"Shanghai Wei Nie Chemical Technology Co., Ltd."
CB_Company_364,"Zibo Junlida Chemical Co. , Ltd."
CB_Company_365,"Hubei Zhonglong Kangsheng fine chemical Co.,Ltd"
CB_Company_366,"Nantong Zhonghe Chemical New Materials Co., Ltd"
CB_Company_367,"Jinan Hui Feng Da chemical Co., LTD."
CB_Company_368,"Dexin Chemical (Shandong) Co., LTD"
CB_Company_369,QUALITY CONTROL SOLUTIONS LTD.
CB_Company_370,Shandong Jinyueyuan New Material Co. Ltd
CB_Company_371,"Wuhan Wenjin Chemical Technology Co., Ltd."
CB_Company_372,"Qiyuan (Guangdong) Pharmaceutical Chemical Co., Ltd."
CB_Company_373,"Changzhou Zidong Lianhua import and Export Co., Ltd"
CB_Company_374,Hubei chengfeng chemical co. LTD
CB_Company_375,"Zhengzhou Tingyang Pharmaceutical Technology Co., Ltd"
CB_Company_376,"Zibo Chuanggu Chemical Technology Co., Ltd."
CB_Company_377,"Shanghai Yanze Chemical Co., Ltd."
CB_Company_378,"Tianjin Ruide Famo Technology Co., Ltd"
CB_Company_379,shanghaidelaikekejiyouxiangongsi
CB_Company_380,"Shandong Jinhe Chemical Co., Ltd"
CB_Company_381,"Shenyang Maud Pharmaceutical Technology Co., Ltd."
CB_Company_382,Taian Jiayue Bio-chemical Co. LTD
CB_Company_383,"Shanghai Chainpharm Bio-medical Technology Co., Ltd."
CB_Company_384,"Wuhan Xinyang Ruihe Chemical Technology Co., Ltd."
CB_Company_385,"Tangyuan Life Science (Shanghai) Co., Ltd"
CB_Company_386,Shandong Jiu 'an Chemical Industry Co. LTD
CB_Company_387,"Shanghai Dingfen Chemical Technology Co., Ltd."
CB_Company_388,"CANGZHOU RUNLIQING CHEMICAL CO.,LTD"
CB_Company_389,"Meryer (Shanghai) Chemical Technology Co., Ltd."
CB_Company_390,Qingdao Dexin Chemical Co. LTD
CB_Company_391,"Jiangyin Yuecheng Jiangnan Fine Chemical Factory Co., Ltd."
CB_Company_392,"Shandong Xuxiang Chemical Co., Ltd."
CB_Company_393,"Nanjing Ertian Chemical Co., Ltd."
CB_Company_394,"Nanjing Sisu Chemical Co., Ltd."
CB_Company_395,"Nanjing Zhonghao Biological Technology Co., Ltd."
CB_Company_396,"Shandong Anqiang Chemical Co., Ltd."
CB_Company_397,"Shandong Kaistong Chemical Co., Ltd."
CB_Company_398,"Shanghai Xichuan Pharmaceutical Technology Co., Ltd."
CB_Company_399,"Yangzhou Xingyuan Chemical Co., Ltd."
CB_Company_400,"Zouping County Qili Auxiliary Co., Ltd."
CB_Company_401,"Shanghai Haoran Biotechnology Co., Ltd."
CB_Company_402,"Changzhou Yuantong Fine Chemical Co., Ltd"
CB_Company_403,Jintan Hengxin institute of chemistry
CB_Company_404,"Jiangsu Yalong Chemical Co., Ltd"
CB_Company_405,"Shandong Xinhua Pharmaceutical Co.,Ltd."
CB_Company_406,"Henan Oumeng Trading Co., Ltd."
CB_Company_407,Changzhou Houmei Chemical Works
CB_Company_408,Jingzewang Chemical Corporation
CB_Company_409,"Hebei Yanxi Chemical Co., Ltd."
CB_Company_410,"Yancheng Longshen Chemical Co.,Ltd."
CB_Company_411,"Hangzhou FandaChem Co.,Ltd."
CB_Company_412,"Tianjin Zhongxin Chemtech Co., Ltd."
CB_Company_413,"Wuhan Xinzhongke Chemical Technology Co., Ltd"
CB_Company_414,"Henan Fengda Chemical Co., Ltd"
CB_Company_415,"Nanjing Xiezun Chemical Co., Ltd."
CB_Company_416,"Hubei Jusheng Technology Co.,Ltd"
CB_Company_417,Tianjin Snow Bio-technique Co.Ltd.
CB_Company_418,"Shenzhen Polymeri Biochemical Technology Co., Ltd."
CB_Company_419,"Huaian yishu technology co.,ltd"
CB_Company_420,"Lianyungang Youkai Biological Technology Co., Ltd."
CB_Company_421,"Huaian Novode Technology Co., Ltd."
CB_Company_422,"Yancheng Yunfeng Chemical Co., Ltd."
CB_Company_423,Jintan Xinghua Chemical Institute
CB_Company_424,"Yancheng Biaoye Chemical Co., Ltd"
CB_Company_425,"Shanghai Yanfeng Imp. & Exp. Co., Ltd"
CB_Company_426,"Yixing FangQiao east chemical plant(Wuxi Orient Detergents Technological Co.,Ltd.)"
CB_Company_427,Yixing Commerce Imp.& Exp. Corporation
CB_Company_428,"Jiangsu Dacheng Pharmaceutical and Chemical Co., Ltd"
CB_Company_429,"Hangzhou Utanpharma Biology Co., Ltd."
CB_Company_430,"Huaian Liebang Kangtai Chemical Co., Ltd"
CB_Company_431,"Youth shanghai Chemical Technology Co., Ltd."
CB_Company_432,"Yancheng Jin-Yuan-Quan Energy Technology Development Co., Ltd"
CB_Company_433,"Anhui Wotu Chemical Co., Ltd"
CB_Company_434,"Huaian Double Win Chemical Industry Co., Ltd."
CB_Company_435,"Yancheng Gaoyu Technology Development Co., Ltd"
